사이트명,URL,소개,도메인,참조데이터,작성자,도구,프롬프트,등록일,승인,비고
연차 잔여일 계산기,https://apps.example.com/annual-leave,사번을 넣으면 입사일 기준 연차 발생일수와 잔여일수를 계산해 보여준다,인사,"인사시스템 엑셀 export, 근태 구글시트",김서연,Claude,"사원 기본정보 엑셀과 근태 시트를 읽어서 입사일 기준 연차 발생일수를 계산하는 단일 HTML 페이지를 만들어줘. 회계연도 기준이 아니라 입사일 기준이고, 1년 미만자는 매월 1일씩 발생한다. 결과는 사번 검색으로 한 명씩 보여주고 계산 근거도 같이 표시해줘.",2026-03-04,TRUE,
면접 질문 생성기,https://apps.example.com/interview-questions,직무를 고르면 직무기술서를 참고해 구조화 면접 질문을 뽑아준다,채용,그룹웨어 직무기술서 게시판,박준호,Claude,"직무기술서 내용을 붙여 넣으면 역량별로 구조화 면접 질문을 5개씩 만들어주는 페이지를 만들어줘. 질문마다 무엇을 확인하려는 질문인지 한 줄로 적어주고, 후속 질문도 2개씩 붙여줘.",2026-03-11,TRUE,
채용공고 초안 작성기,https://apps.example.com/job-posting,직무와 근무조건을 넣으면 채용공고 초안을 만들어준다,채용,그룹웨어 직무기술서 게시판,박준호,Claude,"직무명과 근무조건을 입력하면 채용 사이트에 올릴 공고 초안을 만들어주는 페이지. 담당업무, 자격요건, 우대사항, 근무조건 순서로 쓰고 과장된 표현은 빼줘.",2026-04-02,FALSE,검토 중
온보딩 체크리스트,https://apps.example.com/onboarding,입사일을 넣으면 부서별 온보딩 준비 항목과 기한을 정리해준다,인사,"그룹웨어 사규 PDF, 교육 이수 구글시트",이지우,Claude,"신규 입사자 입사일과 부서를 입력하면 준비해야 할 항목을 기한과 함께 체크리스트로 보여주는 페이지를 만들어줘. 법정의무교육 항목은 이수 시트에서 미이수인 것만 남겨줘.",2026-03-18,TRUE,
회의록 요약기,https://apps.example.com/meeting-summary,회의록 원문을 붙여 넣으면 결정사항과 할 일을 뽑아준다,경영,그룹웨어 회의록 게시판,최민재,Claude,"회의록 원문을 붙여 넣으면 결정사항, 담당자별 할 일, 다음 회의 안건 세 덩어리로 정리해주는 페이지. 담당자 이름이 없는 할 일은 미지정으로 따로 모아줘.",2026-02-20,TRUE,
비품 반납 점검표,https://apps.example.com/return-check,반납 비품의 점검 항목을 순서대로 체크하고 결과를 정리한다,총무,비품 관리 구글시트,정하윤,Claude,"비품 반납 점검을 태블릿에서 하도록 체크리스트 페이지를 만들어줘. 외관, 부속품, 서류 순서로 항목을 넘기고 사진 메모를 남길 수 있게 해줘. 마지막에 점검 결과를 표로 정리해준다.",2026-01-15,TRUE,
견적 계산기,https://apps.example.com/quote,품목과 수량을 넣으면 단가표 기준 견적을 즉시 계산한다,영업,"단가표 구글시트, 비품 관리 구글시트",최민재,Claude,"품목과 수량, 납기 옵션을 고르면 단가표 기준으로 견적을 계산해주는 페이지. 수량 할인 구간을 적용하고 계산 내역을 항목별로 보여줘. 재고가 없는 품목은 안내 문구를 띄운다.",2026-02-05,TRUE,
월간 손익 대시보드,https://apps.example.com/pnl-dashboard,ERP 매출 자료로 월간 손익 추이를 보여준다,경영,"ERP 매출 엑셀 export, 단가표 구글시트",정하윤,Claude,"ERP 매출 엑셀을 올리면 월별 매출과 원가, 영업이익 추이를 차트로 보여주는 대시보드를 만들어줘. 전월 대비 증감률과 상위 5개 지점을 같이 보여준다.",2026-04-10,FALSE,데이터 확인 후 승인 예정
사규 검색 챗봇,https://apps.example.com/policy-bot,사규 원문에서 질문에 해당하는 조항을 찾아 답한다,인사,"그룹웨어 사규 PDF, 인사규정 노션",이지우,Claude,"사규 PDF를 근거로 질문에 답하는 검색 페이지. 답변마다 근거 조항 번호와 원문 일부를 같이 보여주고, 근거가 없으면 모른다고 답하게 해줘.",2026-03-25,TRUE,
교육 이수 현황판,https://apps.example.com/training-status,부서별 법정의무교육 이수율과 미이수자를 보여준다,인사,"교육 이수 구글시트, 인사시스템 엑셀 export",김서연,Claude,"교육 이수 시트와 사원 명부를 맞춰서 부서별 이수율과 미이수자 명단을 보여주는 현황판을 만들어줘. 기한이 지난 항목은 붉게 표시하고 부서별로 접었다 펼 수 있게 해줘.",2026-03-30,TRUE,
연차 계산기 구버전,https://apps.example.com/annual-leave,예전에 만든 연차 계산기로 지금은 쓰지 않는다,인사,근태 구글시트,김서연,Claude,"근태 시트만 보고 연차 잔여일을 계산하는 간단한 페이지를 만들어줘.",2026-01-08,TRUE,신버전으로 대체됨
